Product Details
NFRC ID,8909
CGDB ID,
Name,SageGlass® SR2.0_7mm lami fully tinted 1%T
Manufacturer,"SAGE Electrochromics, Inc."
Acceptance,#
Appearance,unknown
Filename,SageGlass_7_SR2_1dk.SAG
Type,glazing
Subtype,laminate
IGDB Version,33.0
CGDB Version,
Specular,True
Thickness,6.98999977111816
TIR f,0.0
TIR b,
Emis f,0.839105188846588
Emis b,0.139635980129242
Conductivity,0.679000020027161
Permeability Factor,
tfsol,0.004364469
rfsol,0.1144846
rbsol,0.1153374
tfvis,0.01076648
rfvis,0.1128854
rbvis,0.01256683
tdw,0.0111224
tuv,0.0002680672
tspf,12580.23
tciex,0.9203137
tciey,1.127636
tciez,1.969637
rfciex,10.53258
rfciey,11.40154
rfciez,14.07595

Spectral Data
Wavelength,T,Rf,Rb
1.02,0.0,0.0610000006854534,0.034000001847744
1.025,0.0,0.061999998986721,0.0359999984502792
1.03,0.0,0.061999998986721,0.0379999987781048
1.035,0.0,0.061999998986721,0.0390000008046627
1.04,0.0,0.061999998986721,0.0419999994337559
1.045,0.0,0.061999998986721,0.0439999997615814
1.05,0.0,0.061999998986721,0.0469999983906746
1.055,0.0,0.061999998986721,0.0500000007450581
1.06,0.0,0.061999998986721,0.0529999993741512
1.065,0.0,0.061999998986721,0.0570000000298023
1.07,0.0,0.061999998986721,0.0599999986588955
1.075,0.0,0.061999998986721,0.0649999976158142
1.08,0.0,0.061999998986721,0.0700000002980232
1.085,0.0,0.0610000006854534,0.0750000029802322
1.09,0.0,0.0610000006854534,0.0799999982118607
1.095,0.0,0.0610000006854534,0.0869999974966049
1.1,0.0,0.061999998986721,0.0930000022053719
1.105,0.0,0.0610000006854534,0.100000001490116
1.11,0.0,0.0610000006854534,0.10700000077486
1.115,0.0,0.0610000006854534,0.114000000059605
1.12,0.0,0.0599999986588955,0.120999999344349
1.125,0.0,0.0599999986588955,0.12899999320507
1.13,0.0,0.0599999986588955,0.136999994516373
1.135,0.0,0.0599999986588955,0.144999995827675
1.14,0.0,0.0599999986588955,0.152999997138977
1.145,0.0,0.0599999986588955,0.160999998450279
1.15,0.0,0.0599999986588955,0.167999997735023
1.155,0.0,0.0599999986588955,0.174999997019768
1.16,0.0,0.0599999986588955,0.181999996304512
1.165,0.0,0.0599999986588955,0.188999995589256
1.17,0.0,0.0610000006854534,0.195999994874001
1.175,0.0,0.0610000006854534,0.202000007033348
1.18,0.0,0.0610000006854534,0.208000004291534
1.185,0.0,0.0610000006854534,0.212999999523163
1.19,0.0,0.0610000006854534,0.217999994754791
1.195,0.0,0.0610000006854534,0.222000002861023
1.2,0.0,0.061999998986721,0.226999998092651
1.205,0.0,0.063000001013279,0.231000006198883
1.21,0.0,0.0640000030398369,0.233999997377396
1.215,0.0,0.0649999976158142,0.237000003457069
1.22,0.0,0.0659999996423721,0.24099999666214
1.225,0.0,0.068000003695488,0.243000000715256
1.23,0.0,0.0700000002980232,0.245000004768372
1.235,0.0,0.0719999969005585,0.246999993920326
1.24,0.0,0.0740000009536743,0.247999995946884
1.245,0.0,0.0769999995827675,0.248999997973442
1.25,0.0,0.0790000036358833,0.25
1.255,0.0,0.0820000022649765,0.250999987125397
1.26,0.0,0.0850000008940697,0.250999987125397
1.265,0.0,0.0879999995231628,0.250999987125397
1.27,0.0,0.090999998152256,0.252000004053116
1.275,0.0,0.0939999967813492,0.252000004053116
1.28,0.0,0.0979999974370003,0.252000004053116
1.285,0.0,0.101000003516674,0.250999987125397
1.29,0.0,0.104999996721745,0.250999987125397
1.295,0.0,0.108999997377396,0.250999987125397
1.3,0.0,0.112999998033047,0.250999987125397
1.305,0.0,0.116999998688698,0.25
1.31,0.0,0.120999999344349,0.248999997973442
1.315,0.0,0.126000002026558,0.248999997973442
1.32,0.0,0.130999997258186,0.248999997973442
1.325,0.0,0.136000007390976,0.247999995946884
1.33,0.0,0.141000002622604,0.247999995946884
1.335,0.0,0.145999997854233,0.247999995946884
1.34,0.0,0.150000005960464,0.247999995946884
1.345,0.0,0.155000001192093,0.248999997973442
1.35,0.0,0.158999994397163,0.248999997973442
1.355,0.0,0.163000002503395,0.248999997973442
1.36,0.0,0.165999993681908,0.248999997973442
1.365,0.0,0.167999997735023,0.248999997973442
1.37,0.0,0.170000001788139,0.25
1.375,0.0,0.172000005841255,0.25
1.38,0.0,0.17399999499321,0.250999987125397
1.385,0.0,0.175999999046326,0.250999987125397
1.39,0.0,0.179000005125999,0.252000004053116
1.395,0.0,0.181999996304512,0.252999991178513
1.4,0.0,0.186000004410744,0.254000008106232
1.405,0.0,0.189999997615814,0.254999995231628
1.41,0.0,0.194000005722046,0.256000012159348
1.415,0.0,0.199000000953674,0.257999986410141
1.42,0.0,0.203999996185303,0.25900000333786
1.425,0.0,0.209000006318092,0.261000007390976
1.43,0.0,0.216000005602837,0.261999994516373
1.435,0.0,0.222000002861023,0.263999998569489
1.44,0.0,0.230000004172325,0.266000002622604
1.445,0.0,0.237000003457069,0.268999993801117
1.45,0.0,0.244000002741814,0.270000010728836
1.455,0.0,0.250999987125397,0.272000014781952
1.46,0.0,0.257999986410141,0.273999989032745
1.465,0.0,0.264999985694885,0.275999993085861
1.47,0.0,0.270000010728836,0.279000014066696
1.475,0.0,0.275999993085861,0.28099998831749
1.48,0.0,0.282000005245209,0.284000009298325
1.485,0.0,0.287000000476837,0.287000000476837
1.49,0.0,0.291999995708466,0.289000004529953
1.495,0.0,0.296000003814697,0.291999995708466
1.5,0.0,0.300999999046326,0.294999986886978
1.505,0.0,0.305000007152557,0.298000007867813
1.51,0.0,0.308999985456467,0.300000011920929
1.515,0.0,0.312999993562698,0.303000003099442
1.52,0.0,0.31700000166893,0.305999994277954
1.525,0.0,0.321000009775162,0.308999985456467
1.53,0.0,0.324999988079071,0.312000006437302
1.535,0.0,0.328000009059906,0.316000014543533
1.54,0.0,0.331999987363815,0.319000005722046
1.545,0.0,0.335999995470047,0.321999996900558
1.55,0.0,0.340000003576279,0.32600000500679
1.555,0.0,0.34400001168251,0.328999996185303
1.56,0.0,0.34799998998642,0.331999987363815
1.565,0.0,0.351000010967255,0.335999995470047
1.57,0.0,0.354000002145767,0.33899998664856
1.575,0.0,0.356000006198883,0.342000007629395
1.58,0.0,0.358999997377396,0.345999985933304
1.585,0.0,0.361000001430511,0.349000006914139
1.59,0.0,0.363000005483627,0.352999985218048
1.595,0.0,0.363999992609024,0.356000006198883
1.6,0.0,0.365000009536743,0.360000014305115
1.605,0.0,0.36599999666214,0.363999992609024
1.61,0.0,0.36599999666214,0.367000013589859
1.615,0.0,0.367000013589859,0.370999991893768
1.62,0.0,0.367000013589859,0.374000012874603
1.625,0.0,0.367000013589859,0.377000004053116
1.63,0.0,0.367000013589859,0.381000012159348
1.635,0.0,0.367000013589859,0.384999990463257
1.64,0.0,0.367000013589859,0.388000011444092
1.645,0.0,0.365000009536743,0.391999989748001
1.65,0.0,0.361999988555908,0.395000010728836
1.655,0.0,0.35699999332428,0.398999989032745
1.66,0.0,0.349999994039536,0.402999997138977
1.665,0.0,0.340999990701675,0.407000005245209
1.67,0.0,0.328999996185303,0.409999996423721
1.675,0.0,0.314000010490417,0.414000004529953
1.68,0.0,0.296999990940094,0.416999995708466
1.685,0.0,0.275000005960464,0.421000003814697
1.69,0.0,0.250999987125397,0.42399999499321
1.695,0.0,0.223000004887581,0.428000003099442
1.7,0.0,0.194999992847443,0.430999994277954
1.705,0.0,0.166999995708466,0.435000002384186
1.71,0.0,0.144999995827675,0.437999993562698
1.715,0.0,0.12899999320507,0.441000014543533
1.72,0.0,0.120999999344349,0.444000005722046
1.725,0.0,0.120999999344349,0.446999996900558
1.73,0.0,0.127000004053116,0.45100000500679
1.735,0.0,0.135000005364418,0.453999996185303
1.74,0.0,0.14300000667572,0.456999987363815
1.745,0.0,0.150000005960464,0.46000000834465
1.75,0.0,0.156000003218651,0.46399998664856
1.755,0.0,0.160999998450279,0.467000007629395
1.76,0.0,0.165999993681908,0.469999998807907
1.765,0.0,0.172999992966652,0.47299998998642
1.77,0.0,0.180999994277954,0.476000010967255
1.775,0.0,0.188999995589256,0.479000002145767
1.78,0.0,0.195999994874001,0.481000006198883
1.785,0.0,0.202000007033348,0.483999997377396
1.79,0.0,0.206000000238419,0.486999988555908
1.795,0.0,0.208000004291534,0.488999992609024
1.8,0.0,0.208000004291534,0.492000013589859
1.805,0.0,0.209000006318092,0.495000004768372
1.81,0.0,0.210999995470047,0.497000008821487
1.815,0.0,0.212999999523163,0.5
1.82,0.0,0.216000005602837,0.501999974250793
1.825,0.0,0.219999998807907,0.504999995231628
1.83,0.0,0.224999994039536,0.507000029087067
1.835,0.0,0.230000004172325,0.509999990463257
1.84,0.0,0.234999999403954,0.512000024318695
1.845,0.0,0.238999992609024,0.514999985694885
1.85,0.0,0.243000000715256,0.51800000667572
1.855,0.0,0.246999993920326,0.519999980926514
1.86,0.0,0.25,0.522000014781952
1.865,0.0,0.252000004053116,0.524999976158142
1.87,0.0,0.252999991178513,0.52700001001358
1.875,0.0,0.254000008106232,0.529999971389771
1.88,0.0,0.254000008106232,0.532000005245209
1.885,0.0,0.254000008106232,0.535000026226044
1.89,0.0,0.254000008106232,0.537999987602234
1.895,0.0,0.254000008106232,0.541000008583069
1.9,0.0,0.254000008106232,0.542999982833862
1.905,0.0,0.254000008106232,0.545000016689301
1.91,0.0,0.252999991178513,0.547999978065491
1.915,0.0,0.252999991178513,0.550000011920929
1.92,0.0,0.252999991178513,0.551999986171722
1.925,0.0,0.252000004053116,0.555000007152557
1.93,0.0,0.252000004053116,0.556999981403351
1.935,0.0,0.250999987125397,0.559000015258789
1.94,0.0,0.250999987125397,0.561999976634979
1.945,0.0,0.25,0.564000010490417
1.95,0.0,0.25,0.565999984741211
1.955,0.0,0.25,0.566999971866608
1.96,0.0,0.25,0.568000018596649
1.965,0.0,0.248999997973442,0.569999992847443
1.97,0.0,0.247999995946884,0.570999979972839
1.975,0.0,0.247999995946884,0.573000013828278
1.98,0.0,0.246999993920326,0.574999988079071
1.985,0.0,0.24600000679493,0.577000021934509
1.99,0.0,0.24600000679493,0.578999996185303
1.995,0.0,0.245000004768372,0.579999983310699
2.0,0.0,0.24600000679493,0.582000017166138
2.005,0.0,0.24600000679493,0.583000004291534
2.01,0.0,0.24600000679493,0.584999978542328
2.015,0.0,0.24600000679493,0.586000025272369
2.02,0.0,0.24600000679493,0.587999999523163
2.025,0.0,0.246999993920326,0.589999973773956
2.03,0.0,0.246999993920326,0.591000020503998
2.035,0.0,0.247999995946884,0.592999994754791
2.04,0.0,0.248999997973442,0.593999981880188
2.045,0.0,0.25,0.596000015735626
2.05,0.0,0.252000004053116,0.59799998998642
2.055,0.0,0.252999991178513,0.598999977111816
2.06,0.0,0.254000008106232,0.601000010967255
2.065,0.0,0.254999995231628,0.602999985218048
2.07,0.0,0.256999999284744,0.603999972343445
2.075,0.0,0.257999986410141,0.606000006198883
2.08,0.0,0.25900000333786,0.607999980449677
2.085,0.0,0.259999990463257,0.609000027179718
2.09,0.0,0.259999990463257,0.611000001430511
2.095,0.0,0.25900000333786,0.611999988555908
2.1,0.0,0.257999986410141,0.614000022411346
2.105,0.0,0.256999999284744,0.615000009536743
2.11,0.0,0.254999995231628,0.616999983787537
2.115,0.0,0.254000008106232,0.617999970912933
2.12,0.0,0.252000004053116,0.620000004768372
2.125,0.0,0.25,0.621999979019165
2.13,0.0,0.247999995946884,0.623000025749207
2.135,0.0,0.245000004768372,0.625
2.14,0.0,0.241999998688698,0.625999987125397
2.145,0.0,0.238999992609024,0.628000020980835
2.15,0.0,0.234999999403954,0.629000008106232
2.155,0.0,0.23199999332428,0.629999995231628
2.16,0.0,0.228000000119209,0.632000029087067
2.165,0.0,0.224999994039536,0.63400000333786
2.17,0.0,0.222000002861023,0.634999990463257
2.175,0.0,0.217999994754791,0.635999977588654
2.18,0.0,0.216000005602837,0.638000011444092
2.185,0.0,0.211999997496605,0.639999985694885
2.19,0.0,0.207000002264977,0.642000019550323
2.195,0.0,0.202999994158745,0.644999980926514
2.2,0.0,0.197999998927116,0.647000014781952
2.205,0.0,0.19200000166893,0.648999989032745
2.21,0.0,0.185000002384186,0.651000022888184
2.215,0.0,0.178000003099442,0.65200001001358
2.22,0.0,0.168999999761581,0.652999997138977
2.225,0.0,0.159999996423721,0.653999984264374
2.23,0.0,0.150000005960464,0.654999971389771
2.235,0.0,0.137999996542931,0.657000005245209
2.24,0.0,0.126000002026558,0.658999979496002
2.245,0.0,0.114000000059605,0.660000026226044
2.25,0.0,0.101999998092651,0.662000000476837
2.255,0.0,0.0900000035762787,0.662000000476837
2.26,0.0,0.0790000036358833,0.662000000476837
2.265,0.0,0.0700000002980232,0.662000000476837
2.27,0.0,0.061999998986721,0.662999987602234
2.275,0.0,0.0570000000298023,0.663999974727631
2.28,0.0,0.0540000014007092,0.663999974727631
2.285,0.0,0.0509999990463257,0.665000021457672
2.29,0.0,0.0489999987185001,0.667999982833862
2.295,0.0,0.0480000004172325,0.669000029563904
2.3,0.0,0.0469999983906746,0.670000016689301
2.305,0.0,0.046000000089407,0.671000003814697
2.31,0.0,0.046000000089407,0.671000003814697
2.315,0.0,0.046000000089407,0.671999990940094
2.32,0.0,0.046000000089407,0.674000024795532
2.325,0.0,0.0450000017881393,0.675000011920929
